"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
5,13624,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,52,20,0,""
5,13632,"s_and_saveexec_b64 s[10:11], s[2:3]",8,36,4,128,""
5,13636,"s_cbranch_execz 19",8,32,0,32,""
5,13640,"v_bfe_u32 v83, v92, 16, 1",8,60,28,0,""
5,13648,"s_movk_i32 s2, 0x7fff",8,32,0,0,""
5,13652,"v_add3_u32 v83, v83, v92, s2",8,44,12,0,""
5,13660,"v_or_b32_e32 v84, 0x400000, v92",8,32,0,20,""
5,13668,"v_cmp_u_f32_e64 s[2:3], v92, v92",8,40,8,0,""
5,13676,"v_mul_lo_u32 v82, v82, s5",8,32,0,0,""
5,13684,"s_nop 0",8,32,32,0,""
5,13688,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,40,8,0,""
5,13696,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,13700,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,36,4,0,""
5,13708,"global_store_short_d16_hi v[82:83], v84, off",8,32,0,64,""
5,13716,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,13720,"v_or_b32_e32 v82, 51, v132",8,32,0,0,""
5,13724,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,56,24,0,""
5,13732,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,13736,"s_cbranch_execz 19",8,32,0,32,""
5,13740,"v_bfe_u32 v83, v93, 16, 1",8,56,24,0,""
5,13748,"s_movk_i32 s2, 0x7fff",8,36,4,0,""
5,13752,"v_add3_u32 v83, v83, v93, s2",8,36,4,0,""
5,13760,"v_or_b32_e32 v84, 0x400000, v93",8,32,0,16,""
5,13768,"v_cmp_u_f32_e64 s[2:3], v93, v93",8,36,4,0,""
5,13776,"v_mul_lo_u32 v82, v82, s5",8,32,0,0,""
5,13784,"s_nop 0",8,32,32,0,""
5,13788,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,32,0,4,""
5,13796,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,13800,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,40,8,0,""
5,13808,"global_store_short_d16_hi v[82:83], v84, off",8,44,12,64,""
5,13816,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,13820,"v_or_b32_e32 v82, 56, v132",8,32,0,0,""
5,13824,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,52,20,0,""
5,13832,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,13836,"s_cbranch_execz 19",8,32,0,32,""
5,13840,"v_bfe_u32 v83, v94, 16, 1",8,56,24,0,""
5,13848,"s_movk_i32 s2, 0x7fff",8,36,4,0,""
5,13852,"v_add3_u32 v83, v83, v94, s2",8,36,4,36,""
5,13860,"v_or_b32_e32 v84, 0x400000, v94",8,32,0,0,""
5,13868,"v_cmp_u_f32_e64 s[2:3], v94, v94",8,32,0,0,""
5,13876,"v_mul_lo_u32 v82, v82, s5",8,32,0,0,""
5,13884,"s_nop 0",8,32,32,0,""
5,13888,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,32,0,0,""
5,13896,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,13900,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,40,8,0,""
5,13908,"global_store_short_d16_hi v[82:83], v84, off",8,36,4,64,""
5,13916,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,13920,"v_or_b32_e32 v82, 57, v132",8,32,0,0,""
5,13924,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,48,16,0,""
5,13932,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,13936,"s_cbranch_execz 19",8,32,0,32,""
5,13940,"v_bfe_u32 v83, v95, 16, 1",8,56,24,0,""
5,13948,"s_movk_i32 s2, 0x7fff",8,36,4,0,""
5,13952,"v_add3_u32 v83, v83, v95, s2",8,32,0,36,""
5,13960,"v_or_b32_e32 v84, 0x400000, v95",8,32,0,0,""
5,13968,"v_cmp_u_f32_e64 s[2:3], v95, v95",8,32,0,0,""
5,13976,"v_mul_lo_u32 v82, v82, s5",8,32,0,0,""
5,13984,"s_nop 0",8,36,36,0,""
5,13988,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,36,4,0,""
5,13996,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,14000,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,52,20,0,""
5,14008,"global_store_short_d16_hi v[82:83], v84, off",8,32,0,64,""
5,14016,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,14020,"v_or_b32_e32 v82, 58, v132",8,32,0,0,""
5,14024,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,48,16,0,""
5,14032,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,14036,"s_cbranch_execz 19",8,32,0,32,""
5,14040,"v_bfe_u32 v83, v96, 16, 1",8,48,16,0,""
5,14048,"s_movk_i32 s2, 0x7fff",8,32,0,80,""
5,14052,"v_add3_u32 v83, v83, v96, s2",8,40,8,0,""
5,14060,"v_or_b32_e32 v84, 0x400000, v96",8,32,0,0,""
5,14068,"v_cmp_u_f32_e64 s[2:3], v96, v96",8,32,0,0,""
5,14076,"v_mul_lo_u32 v82, v82, s5",8,32,0,4,""
5,14084,"s_nop 0",8,32,32,0,""
5,14088,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,32,0,0,""
5,14096,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,14100,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,52,20,0,""
5,14108,"global_store_short_d16_hi v[82:83], v84, off",8,36,4,64,""
5,14116,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,14120,"v_or_b32_e32 v82, 59, v132",8,32,0,0,""
5,14124,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,44,12,0,""
5,14132,"s_and_b64 exec, exec, s[2:3]",8,32,0,128,""
5,14136,"s_cbranch_execz 19",8,32,0,32,""
5,14140,"v_bfe_u32 v83, v97, 16, 1",8,40,8,128,""
5,14148,"s_movk_i32 s2, 0x7fff",8,32,0,0,""
5,14152,"v_add3_u32 v83, v83, v97, s2",8,44,12,0,""
5,14160,"v_or_b32_e32 v84, 0x400000, v97",8,32,0,0,""
5,14168,"v_cmp_u_f32_e64 s[2:3], v97, v97",8,40,8,0,""
5,14176,"v_mul_lo_u32 v82, v82, s5",8,32,0,0,""
5,14184,"s_nop 0",8,32,32,0,""
5,14188,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,32,0,0,""
5,14196,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,14200,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,40,8,0,""
5,14208,"global_store_short_d16_hi v[82:83], v84, off",8,36,4,64,""
5,14216,"s_or_b64 exec, exec, s[6:7]",8,32,0,0,""
5,14220,"s_and_saveexec_b64 s[6:7], s[0:1]",8,32,0,0,""
5,14224,"s_cbranch_execz 399",8,32,0,32,""
5,14228,"v_lshl_add_u64 v[82:83], v[0:1], 1, s[8:9]",8,48,16,0,""
5,14236,"v_cmp_gt_i32_e64 s[2:3], s4, v100",8,36,4,80,""
5,14244,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,14248,"s_cbranch_execz 19",8,32,0,32,""
